510,50,50,50,50,50,50,50,50,50,50,50,50,50,50
520,49,50,50,50,50,50,50,50,50,50,50,50,50,50
530,48,49,50,50,50,50,50,50,50,50,50,50,50,50
540,46,48,49,50,50,50,50,50,50,50,50,50,50,50
550,44,46,48,49,50,50,50,50,50,50,50,50,50,50
560,43,44,46,48,49,50,50,50,50,50,50,50,50,50
570,42,43,44,46,48,49,50,50,50,50,50,50,50,50
580,41,42,43,45,46,48,49,50,50,50,50,50,50,50
590,40,41,42,44,45,46,48,49,50,50,50,50,50,50
600,40,40,41,43,44,45,46,48,49,50,50,50,50,50
610,39,40,40,42,43,44,45,46,48,49,50,50,50,50
620,39,39,40,41,42,43,44,45,47,48,49,50,50,50
630,38,39,39,40,41,42,43,44,46,47,48,49,50,50
640,38,38,39,39,40,41,42,43,45,46,47,48,49,50
650,37,38,38,39,39,40,41,42,44,45,46,47,48,49
660,37,37,38,38,39,40,40,41,43,44,45,46,47,48
670,36,37,37,38,38,39,40,40,42,43,44,45,46,47
680,36,36,37,37,38,39,39,40,41,42,43,44,45,46
690,35,36,36,37,37,38,39,39,40,41,42,43,44,45
700,35,35,36,36,37,38,38,39,40,40,41,42,43,44
710,34,35,35,36,36,37,38,38,39,40,40,41,42,43
720,33,34,35,35,36,37,37,38,39,39,40,40,41,42
730,32,33,34,35,35,36,37,37,38,39,39,40,40,41
740,31,32,33,34,35,36,36,37,38,38,39,39,40,40
750,30,31,32,33,34,35,36,36,37,38,38,39,39,40
760,29,30,31,32,33,35,35,36,37,37,38,38,39,39
770,28,29,30,31,32,34,35,35,36,37,37,38,38,39
780,27,28,29,30,31,33,35,35,36,36,37,37,38,38
790,26,27,28,29,30,32,34,35,35,36,36,37,37,38
800,25,26,27,28,29,31,33,34,35,35,36,36,37,37
810,24,25,26,27,28,30,32,33,35,35,35,36,36,37
820,23,24,25,26,27,29,31,32,34,35,35,35,36,36
830,22,23,24,25,26,28,30,31,33,34,35,35,35,36
840,21,22,23,24,25,27,29,30,32,33,34,35,35,35
850,20,21,22,23,24,26,28,29,31,32,33,34,35,35
860,19,20,21,22,23,25,27,28,30,31,32,33,34,35
870,18,19,20,21,22,24,26,27,29,30,31,32,33,34
880,16,18,19,20,21,23,25,26,28,29,30,31,32,33
890,14,16,18,19,20,22,24,25,27,28,29,30,31,32
900,12,14,16,18,19,21,23,24,26,27,28,29,30,31
910,10,12,14,16,18,20,22,23,25,26,27,28,29,30
920,8,10,12,14,16,18,20,22,24,25,26,27,28,29
930,6,8,10,12,14,16,18,20,22,24,25,26,27,28
940,4,6,8,10,12,14,16,18,20,22,24,25,26,27
950,2,4,6,8,10,12,14,16,18,20,22,24,25,26
960,1,2,4,6,8,10,12,14,16,18,20,22,24,25
970,0,1,2,4,6,8,10,12,14,16,18,20,22,24
980,0,0,1,2,4,6,8,10,12,14,16,18,20,22
990,0,0,0,1,2,4,6,8,10,12,14,16,18,20
1000,0,0,0,0,1,2,4,6,8,10,12,14,16,18
1010,0,0,0,0,0,1,2,4,6,8,10,12,14,16
1020,0,0,0,0,0,0,1,2,4,6,8,10,12,14
1030,0,0,0,0,0,0,0,1,2,4,6,8,10,12
1040,0,0,0,0,0,0,0,0,1,2,4,6,8,10
1050,0,0,0,0,0,0,0,0,0,1,2,4,6,8
1060,0,0,0,0,0,0,0,0,0,0,1,2,4,6
1070,0,0,0,0,0,0,0,0,0,0,0,1,2,4
1080,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1090,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
